,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordedDate,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q10,Q11,Q12,Q13,Q14,,Q16,Q17,Q18,Q19,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8
2021-09-01 21:06:22,Student_29,Neither -- Borderline,An effective manager,4,3,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Beginner,No Knowledge,Comfortable,No Knowledge,Comfortable,Experienced,No Knowledge,Beginner,No Knowledge,No Knowledge,Beginner,"BI Inc., #2","This is my first choice because I have experience working in the gaming industry and am currently working part time as a software engineer at EA games; therefore I am familiar with game engine Unreal. Another reason I would love to take this project on is because I am very intrigued by VR, and would like to see how it can be applied things other than video games.",Union Pacific PST,"This is my second choice because it is working with game engine Unity, and it aligns with my interest as a game dev. Although I don't have a lot of experience with Unity engine or 3D modeling, this is something I would be highly interested in learning more about as it will develop my skills further in the gaming industry.
This is my second because I like the idea behind the software, especially the strong influence of music. I also feel comfortable with most of the skills that the project is demanding for.",ReneCrown Wellness,"This is my third choice because I love exercising! I am passionate about helping people achieve better health in mind and body. The objective talks about collecting data on how much a student gauges with the app, and I think that would be interesting to learn on today's generation of kids with social media.",Loopsketch,"This is my fourth because I like the idea behind the software, especially the strong influence of music. I also feel comfortable with most of the skills that the project is demanding for. ",Saga Education,"This is my fifth choice because I like working in frontend web development. I also have experience using multiple different tutoring apps, (on the consumer side).",,,,,,,,,,
2021-09-01 22:05:10,Student_30,Neither -- Borderline,A follower,3,1,Work out a compromise,Friendly,No Knowledge,No Knowledge,Beginner,Beginner,No Knowledge,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Comfortable,"Curve-10, # 2",I am interested in the games industry. ,Trimble Cloud,"I love to work on technologies in positioning, modeling, connectivity, and data analytics that enable customers to improve productivity",Caliber Public Safety," I like to do on empowering people to share information with local law enforcement, fire, emergency services, and fellow citizens.",CU E-BIO Department," Because by doing this project, I can gain experience developing and publishing an app on mobile devices and creating a webpage","Curve-10, # 1","Even if I do not have AI experience, I like this idea to helps teachers improve their classroom teaching",,,,,,,,,,
2021-09-01 22:10:44,Student_31,An EXTROVERT,A natural leader,5,4,Try to convince them that my way is better.,"Friendly,Enthusiastic and outgoing",Comfortable,Expert,Expert,Experienced,Experienced,Experienced,Experienced,Beginner,Beginner,Comfortable,Experienced,Experienced,Medtronic,,Congruex,,CU Leeds School of Business,,Childrens Hospital,,Loopsketch,,,,,,,,,,,
2021-09-01 22:25:19,Student_32,An EXTROVERT,A natural leader,5,4,Try to convince them that my way is better.,"Friendly,Enthusiastic and outgoing",Experienced,Expert,Expert,Expert,Experienced,Comfortable,Experienced,Beginner,Beginner,Comfortable,Experienced,Experienced,Medtronic,I have an extensive background in neurology (double major) and I would like to go into the biomedical field after college. I'm also currently working in the biomedical field and Medtronic would give me a good sense of the industry.,Congruex,"My emphasis in computer science so far has been machine learning and data analytics, it would be great to finally put my training in motion. The industry application is a little outside my wheelhouse, so it will be good to explore other applications of ML and data science.",CU Leeds School of Business,"NLP and the theory behind it was the reason I got into data science in the first place, but I've never been able to actually put it into practice. This seems like a great opportunity not only to gain experience with data science/NLP, but also to learn more about scraping data from the internet.",Childrens Hospital,"Again, I have an extensive background in the field of biology through my studies in neurology. I'm also experienced with 3D simulation using augmented reality, so I'm well equipped for this product because of my industry experience.",Loopsketch,"I was classically trained in piano for 6 years and played jazz piano for 2 years. I have been playing guitar for about 10 years. I worked as a music composer/producer for USA Today for 1 year and a half. I am also a skilled cellist, a skilled vocalist, and a mediocre trumpeter. I'm very experienced with music production so I would bring a lot of experience to this project would",,,,,,,,,,
2021-09-01 22:28:30,Student_33,An INTROVERT,A follower,2,3,Work out a compromise,Shy,No Knowledge,No Knowledge,No Knowledge,Comfortable,Beginner,Beginner,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Beginner,Northrop Grumman,I want to work in this project because I would love to learn more about quantum computing. I feel that would be a great project for me to expanded my skills and learn to work with new technology. ,NASA/JPL,I want to work in this project because have always had an interest in space. I would like to help the interments in the space crafts take most helpful coverage that they can so that way people could more successful in analyzing the data. ,L3Harris,I want to work in this project because I would love to be involved in how sensors connect to C2 so that they could be more effective in keeping track of objects that are in space. I would like to be in this process because I know that it could be very important.,"Curve-10, # 2",I choose this project because it is a game. I love playing games so the idea that I could contribute to the development/improvement of a game is a cool idea. I would like to play a game in which I was involved in. The Union Pacific project is also a project that I would be fine working on but there was no six option to put that one. ,"BI Inc., #1",I have always had an interest in GPS technology ever since I was a kid. I would like to analyzing the GPS technology and hopefully improve the technology that is out there today. I would like to contribute to making this technology more efficient. ,,,,,,,,,,
2021-09-01 23:05:30,Student_34,An INTROVERT,A follower,3,3,Try to convince them that my way is better.,Friendly,Comfortable,Beginner,Beginner,Experienced,Comfortable,Comfortable,Beginner,No Knowledge,Beginner,No Knowledge,Experienced,Comfortable,Zayo,"I want to go into cybersecurity after I graduate, so experience with an ISP will be valuable for me. ","BI Inc., #2",Want to work with VR. ,Union Pacific PST,Just sounds like an interesting project. ,Loopsketch,,"Curve-10, # 2",,,,,,,,,,,
2021-09-02 00:13:24,Student_35,Neither -- Borderline,"A natural leader,An effective manager",4,5,Work out a compromise,"Shy,Friendly",Expert,Beginner,Beginner,Comfortable,Experienced,Beginner,Beginner,No Knowledge,Beginner,No Knowledge,Expert,Experienced,NASA/JPL,"While I am very interested in NASA and extraterrestrial exploration, this is also something I would be well-equipped to participate in. I have a lot of experience with 3D computer graphics, some experience with camera projections, and I've spent a lot of time writing code in Java. This really seems like a unique opportunity that I would love to be a part of.","BI Inc., #2","I am very interested in Virtual Reality, and I have written basic VR applications in both Unity and Unreal Engine, and would be excited to work with more professional VR hardware. I am confident that I would be able to work on the apps they have described, and I am very interested in how that would work in an enterprise setting.",Loopsketch,"The software the document describes sounds very cool, and something I'd love to work on (or maybe software I would like to use). The technologies described are mostly things that I either have some familiarity with, or things I would be able to approach. This is a kind of software that I think could be very useful, and I think there is a lot of room for me to do some impressive work.",Union Pacific PST,"I really like the idea of a train simulator for training (no pun intended). I have some experience with Unity, 3D graphics, procedural generation, and parsing text. I also think it would be a unique experience to explore game development for a purely professional purpose.",UCAR,"I believe that this project is for a valuable reason, that being education about climate change. This also sounds like something challenging that I would still be qualified to work on, given that a large portion of my programming experience has been in 3D graphics in front-end web design.",,,,,,,,,,
2021-09-02 11:05:16,Student_36,An INTROVERT,An effective manager,3,3,Work out a compromise,Friendly,Beginner,Comfortable,Comfortable,Beginner,Comfortable,Experienced,Experienced,No Knowledge,No Knowledge,No Knowledge,Beginner,Comfortable,Trimble Autonomous Solutions,"I love autonomous systems. I’ve had experience working on a partially autonomous robot through VEX robotics, and I loved the challenge of maneuvering the robot to complete challenging tasks. I’ve also gotten to contribute to an unmanned aerial vehicle in one of my internships. I would love to continue learning more about autonomous systems, and this project focuses on perception, situational awareness, and autonomy. 

I also think this company is worth working for, because they’re well ranked for diversity and engineering and company culture which all matter to me. This company is pursuing advancements in agriculture which will always be a prominent need since there is a continuous demand for food. I could see myself working for this company after graduation, and this project could be a great introduction to the company and the work I can do for them. 

Getting hands-on experience with autonomous, agricultural machinery sounds really exciting, and I would love to contribute to this project. I have experience, since I’ve taken Introduction to Robotics, Advanced Robotics, Computer Vision, and Introduction to Artificial Intelligence. 
",NASA/JPL,"The project of coverage analysis software for robotic space missions sounds incredibly useful, because it will further advance our understanding of space. I think space is fascinating. There is so much to learn about space, and it would be awesome to contribute to the exploration of space. This project will take data from a space mission and calculate how coverage evolves over time which would be really awesome to analyze. 

Since I have Java experience and geometry and math skills, I see a lot of potential in applying those skills and learning more through this project. I would really like to work on this project, because it will be an opportunity to apply the knowledge I’ve learned in school to a real project. I could also see myself working for this company after graduation, and this project could be a great introduction to the company and the work I can do for them.  ",Northrop Grumman,"I think there’s a multitude of opportunities and topic areas to learn with this project. I think this project will pursue cutting edge technologies by focusing on quantum AI using SVM and MLP classifiers. I’m really interested in how this work will influence future quantum AI and how it can be applied to space, aeronautics, defense and cyberspace. 

I really like the focus of finding the point at which convergence on conventional hardware takes longer than a quantum processor, because this requires diving deeper to prove quantum can be faster than conventional hardware. 

I have completed two internships with Northrop Grumman, and I would love to return to the company and continue contributing to the amazing work they are focused on. 
",ReneCrown Wellness,"This project makes an incredibly positive impact on young women. I think these types of support programs are valuable and I want to pursue projects that positively impact the world. Mind. Body. Voice (MBV) wants to create an app to continue the progress these women are making, and that is amazing. I think I can learn a lot about designing and building an app, and these skills would be useful for future app development. ",UCAR,"This is incredibly important and relevant to today’s world. We know climate change is damaging our environment, and we have the power to make a change. We can make a difference by informing people on the impacts of climate change. By transferring the in-person activity to a virtual format, we will be able to reach more people and educate more people about the importance of how human actions and choices effect global greenhouse gas emissions. 

I think creating an accessible and mobile-friendly web application would be a fun and challenging project for me. I care about user interfaces and experiences, and I would have a desire to design the website to enable as many people as possible to enjoy the activity. 
",,,,,,,,,,
2021-09-02 12:05:46,Student_37,Neither -- Borderline,A follower,5,2,Work out a compromise,Friendly,Beginner,Beginner,No Knowledge,Comfortable,Beginner,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Beginner,Trimble Autonomous Solutions,The project seems to have a variety of learning opportunities that I'm interested in.  The subject of automated farming is one that I would like to further explore.  I am also interested in Trimble as a potential employer.,UCAR,I would like to see computer science used in climate change communications. ,Trimble Cloud,I am interested in Trimble as a potential employer.  I would also like to learn more about geofencing.,Medtronic,I am considering data science as a profession.  I would also like to experience computer science used in the medical industry.,NASA/JPL,I was originally an aerospace engineering major so I have interest in this field.  ,,,,,,,,,,
2021-09-02 12:06:34,Student_38,An INTROVERT,A follower,5,3,Work out a compromise,"Shy,Friendly",No Knowledge,Beginner,No Knowledge,Experienced,Beginner,Beginner,Comfortable,No Knowledge,No Knowledge,No Knowledge,No Knowledge,Comfortable,Congruex,"I want to work on the Congruex project because not only is the idea behind it interesting, but the skills that I will have to use will be a combination of skills I am familiar with and skills that I will have to develop during the project. I used Microsoft SQL during my internship over the summer, so I am familiar with that requirement as well as the Python/C# skill requirement as I have used those languages either in class or with projects. I also have some minor experience with data science from one class that I previously took. I do not have any experience with Rest API or Power BI and believe that this project would be a great opportunity to learn how to utilize these skills, especially since they will be important to know when getting a job. In addition, the project mentions that we could potentially develop a pipeline if time permits - I have very little experience with pipelines but would love the chance to get become more familiar with them. Overall, I am most passionate about this project because I believe I will be comfortable enough to create a well-designed solution while also learning and growing as a computer scientist in a way that will have a significant positive impact on my future career choices.",Medtronic,"I want to work on the Medtronic project because I think the company and its work are incredibly fascinating and believe that the work it does in the medical field is something I would love to contribute to. I have experience in the data science field from a past CU class and found the material to be quite engaging, although I would not say that I am super experienced in the subject. Despite my lack of knowledge in data science and machine learning, I am definitely interested in developing those skills. I have knowledge of the technological requirements such as Git, SQL, and Python. Overall, I think that the Medtronic project would be an amazing opportunity to work on something that I am passionate about while also broadening my computer skills.  ",CU Leeds School of Business,"I want to work on the Leeds project because it combines two of my interests: business and computer science. I am currently taking a Natural Processing Language class, which I believe will intersect its knowledge with the project and allow me to gain a greater understanding of both this project and my class. The subject matter of this project sounds very promising as it would let me work on a variety of different ""mini-projects"" where I would learn a lot about NLP, database, machine learning, and finance. Overall, I feel that this project will allow me to expand and combine my current interests in a way that will be fulfilling and allow me to learn about a diverse range of subjects.","BI Inc., #1","I want to work on the first BI Inc. project because I think that it would be a great opportunity to learn not only more about JavaScript and APIs, but also hardware. I also like the idea behind the project, as I am often frustrated by the limited battery life of my own GPS (phone) and would prefer for a better version of device location to be created. The coding portion for the device is in C++, C#, or Python, all of which I am comfortable coding in. This project would act as a good way for me to learn more about JavaScript and APIs, as well as hardware. Overall, I think that this project would serve as a good way for me diversify my coding skills and allow me to see a side of computers that I generally do not see (i.e. hardware). ",MindBeWell,"I want to work on the MindBeWell project because of its start-up and active contribution environment in addition to the interesting idea behind the project. I like how this project encourages the student to contribute not only what is specifically laid out, but also wants the student to contribute and be an equal member of designing the overall project results. I think it would be interesting to work on a project that has been mostly planned, but has room to change and improve based on the input of the students. Overall, I think that this project would let me grow as a computer scientist and ""entrepreneur"" as it will put me into a position where the product and company are still very new and malleable. ",,,,,,,,,,
2021-09-02 12:23:21,Student_39,Neither -- Borderline,A natural leader,4,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Comfortable,Beginner,Experienced,Comfortable,Experienced,Experienced,Experienced,Experienced,No Knowledge,Beginner,Experienced,MindBeWell,"I really like the mission of this company and think their project would be beneficial to many people. In addition, this project is a perfect fit for my skill set. I currently work for Major League Baseball developing their mobile apps that are used by millions of people. I think my experience in developing mobile apps that use micro services and databases with a ci/cd pipeline would be beneficial to developing and expanding upon the mobile app proposed in this project. ",ReneCrown Wellness,I like the direction this company is trying to pursue. It seems like the project they are proposing would be beneficial to many people struggling with their mental health. This project is also focused on mobile app development which is what I have been doing at my internship at Major League Baseball for 2 years now. I think my experience has given me the skills to be an effective member of the team on this project.,Caliber Public Safety,I liked this project because it seems like there would be some fun and challenging features to implement. This project would give me a little more experience with web and desktop applications allowing me to expand my industry knowledge beyond mobile app development. ,Childrens Hospital,I am going to be honest I just thought this was a cool project. I don't really have the computer graphics skills they recommend having for this simulation but am willing to learn them if put on this project. ,Congruex,I thought this project was cool due to the AI prediction aspect of determining whether a construction site would be a successful bid.  I have experience writing micro services that are interfaced into via REST APIs which would be useful for this project as proposed. ,,,,,,,,,,
2021-09-02 13:47:50,Student_40,An EXTROVERT,A natural leader,4,4,Work out a compromise,Friendly,Beginner,Comfortable,Comfortable,Comfortable,Beginner,Comfortable,Beginner,No Knowledge,No Knowledge,No Knowledge,Comfortable,Comfortable,Lockheed-Martin,I was a summer intern and am still currently working part time at Dell Technologies on an NLP/ML related project that gave me some great experience when it comes to web scraping and data analytics. This project would also help me hone my UI skills. ,CU Leeds School of Business,"I like this project because it is another NLP/ML related project and that is the focus area in which I would like to work. I have some experience in this field, but am always looking to learn more about the different applications in industry.",Congruex,This project would give me an opportunity to use machine learning methods to implement a proactive solution to a real world problem. The field of machine learning interests me alot and this would allow me to gain invaluable experience.,UCAR,Want to gain experience in the development of mobile applications and design. Also I am particularly interested in climate change and its implications. ,ReneCrown Wellness,"I support the plan to provide a safe space where these young girls can work through their hardships together. I have some experience in web app dev, but none in mobile app development so this would serve as a learning experience.",,,,,,,,,,
2021-09-02 13:57:24,Student_41,Neither -- Borderline,An effective manager,5,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Comfortable,Comfortable,Comfortable,Comfortable,Experienced,Beginner,No Knowledge,No Knowledge,No Knowledge,Comfortable,Comfortable,NASA/JPL,"As an uber-space nerd who chose a CS degree over Aerospace out of job security, I've had to settle with doing a space minor. My dream job is to work at SpaceX as either an avionics engineer or software test engineer and I think this could be an amazing opportunity to get an insight to the CS and Aerospace collaboration within industry. ",Childrens Hospital,"For the last 3 summers I've worked on 3D modeling and simulating various patient treatments at Stanford university School of Medicine. I've worked on aortic stents and bypass simulations while also simulating blood flow to make sure enough blood is supplied to the rest of the body. I also worked on going from an XRay/CAT/CT scan to 3d model in order to 3d print medical devices for patients with Pure Robin Sequence. I found this to be very fun and think I could do a great job on this project. If you're curious about the Labs, they were the CBCL at Stanford and the DeSimone group at Stanford.",Northrop Grumman,I think quantum AI and quantum computing are some of the most interesting fields on modern technology. Hence why I plan on taking Into to quantum computing next semester when I have my pre-reqs. I've used SVM classifiers in both openCV and Tensorflow for personal chatbot projects and I think it would be super fun to work with these on and industry level! I also have a good amount of experience with data analytics which I think I could contribute to in this project.,Medtronic,I've have a fair amount of experience with data analytics and ML which I've found to to be very fun! Thus I think designing something to help the healthcare industry would be a lot of fun! Especially since I've been working with CS in the healthcare industry for the past 3 summers.,UCAR,I think global warming is a very important topic but I also think designing a 3D virtual environment would be very fun!  I've done a lot of 3D modeling and computation with past internships and I think this could be very fun in that its so large scale!,,,,,,,,,,
2021-09-02 14:39:30,Student_42,Neither -- Borderline,A follower,4,4,Work out a compromise,"Friendly,Loner",Beginner,Beginner,No Knowledge,Experienced,Beginner,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Experienced,NASA/JPL,"Despite having limited Java experience, this project suits me well. I believe that I am quite proficient in geometry and many mathematical disciplines. Moreover, I am very interested in the field of astronomy and have significant experience working on astronomical problems due to my astronomy minor.",L3Harris,"This project piques my interest for a few primary reasons. I am quite interested in space, to the degree that I am completing my astronomy minor this semester. As far as computer science goes, I took Network Systems last semester and enjoyed it despite its challenges. Thus, I believe this project would be a great opportunity to grow as a network programmer while engaging with a space-related topic.",Loopsketch,"As someone who enjoys listening to and playing music, I really like the idea of this tool and would likely use it. Beyond that, I have significant experience with object oriented programming, python, and SQL based database programming. This project would also provide me an environment to grow as a network programmer.",Union Pacific PST,"I enjoy playing video games, so I have been curious about computer graphics and how games are developed for a while. My only graphical programming experience is from Intensive Programming Workshop, which I took last semester. However, I am currently taking Computer Graphics and would love to garner experience through this project.",Festo,"Digital payment is surely one of the biggest facets of everyday existence for most people in developed countries, so it would be interesting to develop a project that is so integral. Despite only having limited experience with NodeJS and moderate experience with database programming, I would be more than willing to learn about blockchain and whatever other technologies are required for this project.",,,,,,,,,,
2021-09-02 15:06:08,Student_43,Neither -- Borderline,An effective manager,5,3,Work out a compromise,"Friendly,Enthusiastic and outgoing,Loner",Beginner,Comfortable,Beginner,Comfortable,Beginner,Comfortable,Comfortable,Beginner,Beginner,Beginner,Comfortable,Comfortable,Trimble Autonomous Solutions,I have always been interested in robotics and finally got into the Intro to Robotics class this semester. I come from a rural area and have been around lots of farmers and farm equipment and took a class on welding and fixing up and making farm equipment. This would give me much needed experience in ML and Computer vision. I also plan on building similar but smaller scale equipment from scratch when I move in with my Fiancee.,UCAR,"I understand that climate change is a very pressing threat and would love to work on any tool that could help the issue at all. I remember using a similar tool to what they are describing making (albeit much simpler) when I was in middle school to try and estimate our carbon footprints. I remember high my carbon footprint was even though I do a lot to try and make it smaller and I think that that same realization could help other people to try and make changes. I took your database class and I also took a data analytics class so I think that I would be a decent fit. I don't have that much experience in Web Design, I only have taken one class in it, so I think that more experience would be good.",Trimble Cloud,My father works in construction and got hurt badly in an accident due to a delivery coming when it wasn't supposed to and being unable to get it out safely. Hopefully this project could provide a way to prevent that or lessen it's frequency. I'm pretty good at Python and decent at Databases thanks to your databases class. I think that this could be a very fun project as well as a good way to help people. It would also help me get more experience using another API.,Zayo,"I think that this project is important, business and improving how business functions is probably the only way we will be able to get out of the many crises that we have put ourselves into. I find Network concepts very interesting but have not and will not have an easy enough semester to take Network Systems so I think that this will teach me more Network concepts. I think that I will understand the basics decently well because they were covered in Operating Systems. This project does require quite a few things that I don't know very well, so I would have a lot of learning to do which will be nice, but I won't be able to be a technical lead on this project.",NASA/JPL,"I have been obsessed with space from a young age many others. I think that this project would be a blast, albeit not quite as interesting as the others. Space is definitely one of our final frontiers and I think that we should encourage space exploration and help improve it because striving into the unknown makes us improve ourselves and our technology, which is a part of our collective selves. I have very little Java experience, but that wouldn't be hard to learn. I have taken many math classes including Differential Equations with Linear Algebra in the APPM department here, so I have more experience than most computer science majors.",,,,,,,,,,
2021-09-02 15:40:03,Student_44,Neither -- Borderline,An effective manager,5,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Beginner,No Knowledge,Beginner,Experienced,Comfortable,Comfortable,Beginner,Beginner,No Knowledge,Comfortable,Experienced,NASA/JPL,"I have always been super interested and excited about space. It is something that we know very little about and so there is still a vast universe of knowledge in the universe that I am always excited to explore. Also, being able to work with NASA engineers on something that will actually be used afterwards is very exciting and very important to me.",ReneCrown Wellness,One of my biggest goals that has been consistent throughout my entire time in engineering has been to end up working on things that have a positive impact on other people's lives. Where the focus is on the impact and not the profit. ReneeCrown Wellness seems to be doing exactly that. I would love to contribute to an app that helps fight and combat eating disorders.,Northrop Grumman,"Having a big interest in the medical device field, I think gaining experience in embedding programming is essential. I'm super interested in not only that, but also willing and excited to learn about Quantum Computing as well!",Saga Education,"Going back to what I stated before, my passion is to do work that has a true positive impact, and with Saga being a non-profit, I believe it falls right in line with what my passion is!",Medtronic,"My dream has been to get into medical devices. Medtronic is a dream company, but I am not so much into data science. I still included this on my list for my love of the medical field, but more of as the last resort as data science isn't my exact interest or specialty, but would still love to gain experience in the medical device field. ",,,,,,,,,,
2021-09-02 16:30:07,Student_45,An INTROVERT,A follower,4,3,Work out a compromise,Shy,Beginner,Comfortable,Beginner,Comfortable,Comfortable,Comfortable,Beginner,No Knowledge,No Knowledge,No Knowledge,Beginner,Comfortable,Northrop Grumman,AI is a topic that I've been interested in for years. I have taken a class on it and written a paper on the ethics of artificial intelligence.,NASA/JPL,"I have a lot of interest in space. I actually started as an aerospace engineering major here at CU, but after taking some comp sci classes I switched, but my interest in space has not changed.",Lockheed-Martin,AI is a topic that I've been interested in for years. I have taken a class on it and written a paper on the ethics of artificial intelligence. I am currently taking a class on machine learning.,Loopsketch,"I love music. I listen to it all the time. I am also a musician, I have played the trumpet for over 10 years now.",Medtronic,"AI is a topic that I've been interested in for years. I have taken a class on it and written a paper on the ethics of artificial intelligence. I have experience with data science, having taken a class on it.",,,,,,,,,,
2021-09-02 16:31:45,Student_46,Neither -- Borderline,"A follower,An effective manager",4,4,Work out a compromise,"Shy,Friendly,Enthusiastic and outgoing",Beginner,Expert,Experienced,Experienced,Beginner,Comfortable,Beginner,Beginner,Beginner,Comfortable,Beginner,Comfortable,NASA/JPL,"The motivation for wanting to work on this project the most is because the application of the software to be created is all about maximizing the efficiency of observational data collection, which would entail algorithms and the potential for ML/AI application, as well as data analytics processing of the existing ""JPL Small-Body Database"" to help ensure future encounters with objects will allow for the most optimal data collection/observation of the object. I have a strong understanding of the project background and objective, along with a large personal interest in the subject of mapping/observing Solar System Bodies, ",Lockheed-Martin,"I am motivated to work on this project because of the large amount of data collection and processing needed. I believe my skills from Data Science courses, and Machine Learning courses are exactly what is needed for the project objective. The project description also indicates the production of a Data IN-Flow pipeline from a mass of News websites, which would require web scraping to collect data ( I have built my own web scrapers ), as well as Natural Language Processing to decipher the data into meaningful indicators related to the suppliers of Lockheed, and then creating a risk assessment based of those data indicators. This is something I have a strong understanding of what is being asked in the project objective, and I know I can supply skills and knowledge to help make this project successful and of the highest quality.",Festo,"I am interested in this project because of the functionality the company is employing blockchain technology for ( pay-per-use system ). I actually have minimal pre-existing skills to work on this project, in that I only have experience in design of relational databases management software. But I have little exposure to Node.js, AWS tools, and a good understanding of the REST-API. I am interested in this project because I see it as an opportunity to increase my BACK-END skills with Node, as well as actually implementing a blockchain technology to be used as a service for a commercial entity would be valuable exposure to the ever-growing world of blockchain technologies. ",L3Harris,"I am interested in this project because the functionality of the software to be made is very interesting and something I have little knowledge in developing Networking algorithms. I believe that my skills in AI/ML would be beneficial in a final product in which networking was optimized through ML models. I am interested in developing my skills in networking scenarios since I have little exposure to it and see it as a fundamental skill to be exposed to. I also am very interested in the overall end software, and its application having an impact on a large scale.",Trimble Autonomous Solutions,"I have some exposure to ML image processing and classification, as well as agricultural background. Seeing these 2 separate entities combine to have a large impact on agricultural efficiency and the environment sparked a large interest in me. I believe autonomous vehicle control is a booming technology, and to work on something that can be deployed on such a large scale, along with a strong impact on efficiency, the large impact of the software is something I would appreciate, and use as inspiration to make the highest quality software.",,,,,,,,,,
2021-09-02 17:09:46,Student_47,Neither -- Borderline,None of the above,3,3,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Comfortable,Beginner,Comfortable,Comfortable,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Comfortable,"BI Inc., #2",I liked how this project is trying to explore different usages of VR and I'm also interested in what VR could be used on that would be beneficial ,UCAR,The thought of translating a physical exhibit into a virtual exhibit is quite interesting. This would be a great experience in learning what to considered important in the experience of a physical exhibit that we would want to mimic in the virtual exhibit.,ReneCrown Wellness,I like the objective of this project to get people to keep exercising and keeping them motivated in exercising creating a healthier life ,CU Psychology Department,I thought the research was interesting because it explores the difficulty of facial recognition in a new country or place. It'd be fun adding functionalities to the current features they have.,Saga Education,It seems like the project would require a full-stack skill with the video conferencing app which would be good to learn and develop through the year. ,,,,,,,,,,
2021-09-02 17:39:54,Student_48,Neither -- Borderline,A follower,5,4,Work out a compromise,"Shy,Friendly",Comfortable,Beginner,No Knowledge,Beginner,Beginner,No Knowledge,Beginner,Comfortable,Comfortable,No Knowledge,Experienced,Experienced,UCAR,"I would like to be part of a project that builds web apps. As a design minor, I have experience building responsive web pages and I also have experience building and deploying functional web applications using node and express. This project mentions Angular and React which are frameworks I have limited experience in but am very interested in learning more about since it is used in industry a lot. UCAR seems like a great organization and I believe I would become very invested in working on a project with them.",CU English Department,"The project itself (study of Romantic-period literature and culture) is very interesting to me. I have limited experience building web pages (both static and web apps) that I am very much interested in expanding upon. As a design (CTD) minor, I have also taken a web design course that I believe sets me apart from other students in the course. I have a lot of experience building responsive websites. I am currently taking databases so working on a project where I would get to utilize them would be very helpful.",CU E-BIO Department,"My plan after graduation is to become an app engineer, either iOS, Android, or both. This project seems like a great opportunity to gain relevant experience in app development. I am currently taking a course on mobile app development for both iOS and Android. I also have experience building and deploying full-stack web applications. I am comfortable in Swift, JavaScript and Node and am currently learning Kotlin for Android apps.",Loopsketch,"The idea of collaborative music production is very innovative and incredibly interesting to me. As a design minor, I take a lot of time to make sure my software looks and feels good to use, which is an important aspect of this project. The project mentions delivering cross platform applications for iOS and Android which is something I will be learning to do this semester.","Curve-10, # 1","I am interested in working on a project that builds full-stack web applications. This project is especially interesting because it helps teachers improve teaching techniques. This, now more than ever, is very important and I whole-heartedly believe in the purpose of this project. ",,,,,,,,,,
2021-09-02 18:13:41,Student_49,Neither -- Borderline,An effective manager,4,3,Work out a compromise,"Shy,Friendly",Comfortable,Beginner,Beginner,Experienced,Comfortable,Comfortable,Experienced,Comfortable,No Knowledge,No Knowledge,Comfortable,Experienced,"BI Inc., #2",It seems like a great project to learn how to program and work with virtual reality. Also the people I want to work with are very interested in this project. ,UCAR,I'm very passionate about climate change. I would love to help increase access to knowledge about how human caused climate change is affecting our planet and help educate people about what they can do to stop the worst effects. I have web development experience and would love to help convert the Our Future exhibit online for a wider audience.,ReneCrown Wellness,I want to work on this project because it provides the opportunity to develop an app that will help teen girls suffering with eating disorders. The students I want to work with and I all have some app development experience ,CU Psychology Department,I did a research paper last semester diving into the social and political impacts of facial recognition software. While this doesn't have to do with facial recognition software it does deal with similar issues of how faces of other racial groups and genders are perceived incorrectly and work to actively combat that issue. With my app development skills I feel like I can make an impact and help to progress this project.,Saga Education,Saga Educations mission statement of helping kids under the poverty line with math is very moving and impactful. They also directly outline on their website why they don't use other video meeting software and why the things they want for this project are necessary. The thought they have put into this project makes me feel comfortable that my team will be able to produce a product for Saga that will achieve what they want. ,,,,,,,,,,
